City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Des,Date
0,Sitka,US,57.0531,-135.33,35.6,75,20,10.36,few clouds,2021-03-28 16:07:31
1,Sao Filipe,CV,14.8961,-24.4956,69.91,74,3,15.12,clear sky,2021-03-28 16:09:17
2,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,74,20,12.66,few clouds,2021-03-28 16:09:17
3,Dingle,PH,10.9995,122.6711,76.86,86,80,5.95,broken clouds,2021-03-28 16:09:18
4,Albany,US,42.6001,-73.9662,50.0,85,100,13.73,moderate rain,2021-03-28 16:07:35
5,Qianan,CN,44.9932,124.0581,42.91,50,7,15.5,clear sky,2021-03-28 16:09:18
6,Ribeira Grande,PT,38.5167,-28.7,62.6,72,40,13.8,scattered clouds,2021-03-28 16:09:18
7,Busselton,AU,-33.65,115.3333,60.01,91,0,8.43,clear sky,2021-03-28 16:09:18
8,Ostrovnoy,RU,68.0531,39.5131,35.28,98,100,17.05,overcast clouds,2021-03-28 16:09:19
9,Salalah,OM,17.0151,54.0924,84.2,61,0,2.3,clear sky,2021-03-28 16:09:19
10,Lasa,IT,46.6166,10.7002,68.0,26,0,5.75,clear sky,2021-03-28 16:09:19
11,Barrow,US,71.2906,-156.7887,-29.2,99,40,9.22,scattered clouds,2021-03-28 16:09:19
12,Bluff,NZ,-46.6,168.3333,53.01,97,100,4.5,overcast clouds,2021-03-28 16:09:20
13,East London,ZA,-33.0153,27.9116,66.2,68,20,10.36,few clouds,2021-03-28 16:09:20
14,Hilo,US,19.7297,-155.09,66.2,88,90,5.75,moderate rain,2021-03-28 16:09:20
15,Kodinsk,RU,58.6881,99.1844,23.9,98,100,2.26,overcast clouds,2021-03-28 16:05:24
16,Longyearbyen,SJ,78.2186,15.6401,32.0,80,40,11.5,scattered clouds,2021-03-28 16:09:20
17,Biak,ID,-0.9131,122.8766,76.73,83,100,2.66,overcast clouds,2021-03-28 16:09:21
18,Nikki,BJ,9.9401,3.2108,96.93,10,2,5.68,clear sky,2021-03-28 16:06:17
19,Kulhudhuffushi,MV,6.6221,73.07,84.87,69,84,11.01,broken clouds,2021-03-28 16:09:21
20,Karratha,AU,-20.7377,116.8463,86.79,52,6,9.15,clear sky,2021-03-28 16:09:21
21,Kapaa,US,22.0752,-159.319,73.0,78,90,19.57,overcast clouds,2021-03-28 16:06:27
22,Azogues,EC,-2.7333,-78.8333,66.2,63,75,6.91,light rain,2021-03-28 16:09:22
23,Rikitea,PF,-23.1203,-134.9692,78.17,76,13,16.73,light rain,2021-03-28 16:06:21
24,Bethel,US,41.3712,-73.414,50.0,96,100,3.0,light rain,2021-03-28 16:09:22
25,Qaanaaq,GL,77.484,-69.3632,-14.62,78,33,3.51,scattered clouds,2021-03-28 16:09:22
26,Avarua,CK,-21.2078,-159.775,80.6,78,75,11.5,light rain,2021-03-28 16:09:22
27,Merauke,ID,-8.4667,140.3333,80.28,86,100,10.11,overcast clouds,2021-03-28 16:09:23
28,Yakeshi,CN,49.2833,120.7333,33.15,98,99,7.49,light snow,2021-03-28 16:09:09
29,Rabo De Peixe,PT,37.8,-25.5833,60.8,77,20,8.05,few clouds,2021-03-28 16:09:23
30,Port Alfred,ZA,-33.5906,26.891,66.43,67,98,17.56,overcast clouds,2021-03-28 16:08:25
31,Aklavik,CA,68.2191,-135.0107,-11.2,70,75,8.05,broken clouds,2021-03-28 16:09:23
32,Sechura,PE,-5.5569,-80.8222,79.99,54,85,5.75,overcast clouds,2021-03-28 16:09:23
33,Cascavel,BR,-24.9558,-53.4553,80.47,55,48,7.45,scattered clouds,2021-03-28 16:09:24
34,Goderich,CA,43.7501,-81.7165,42.8,93,100,17.27,overcast clouds,2021-03-28 16:08:10
35,Senanga,ZM,-16.1167,23.2667,75.85,61,87,2.82,overcast clouds,2021-03-28 16:09:24
36,Port Elizabeth,ZA,-33.918,25.5701,66.2,68,0,16.11,clear sky,2021-03-28 16:05:02
37,Lazurne,UA,46.084,32.5295,51.8,58,0,8.95,clear sky,2021-03-28 16:09:24
38,Pisco,PE,-13.7,-76.2167,73.0,73,0,8.05,clear sky,2021-03-28 16:04:59
39,Temnikov,RU,54.6302,43.2148,27.41,92,79,5.03,broken clouds,2021-03-28 16:09:25
40,Pangnirtung,CA,66.1451,-65.7125,10.54,55,99,2.66,overcast clouds,2021-03-28 16:09:25
41,Severo-Kurilsk,RU,50.6789,156.125,25.05,77,53,13.69,broken clouds,2021-03-28 16:04:57
42,Mataura,NZ,-46.1927,168.8643,53.01,97,100,2.68,overcast clouds,2021-03-28 16:09:25
43,Nouakchott,MR,18.0858,-15.9785,89.6,31,6,16.11,sand,2021-03-28 16:09:25
44,Jamestown,US,42.097,-79.2353,52.0,93,90,4.09,light rain,2021-03-28 16:09:26
45,Clyde River,CA,70.4692,-68.5914,-7.6,84,1,3.44,clear sky,2021-03-28 16:09:26
46,Punta Arenas,CL,-53.15,-70.9167,51.8,43,0,23.02,clear sky,2021-03-28 16:08:37
47,Ushuaia,AR,-54.8,-68.3,46.4,57,40,26.46,scattered clouds,2021-03-28 16:08:50
48,Narsaq,GL,60.9167,-46.05,24.8,54,0,4.61,clear sky,2021-03-28 16:05:06
49,Upernavik,GL,72.7868,-56.1549,-17.12,79,91,5.01,overcast clouds,2021-03-28 16:08:22
50,Chegdomyn,RU,51.1167,133.0167,26.96,91,100,3.22,overcast clouds,2021-03-28 16:09:26
51,Oranjemund,NA,-28.55,16.4333,65.32,74,4,13.15,clear sky,2021-03-28 16:09:27
52,Puerto Ayora,EC,-0.7393,-90.3518,81.0,78,40,9.22,scattered clouds,2021-03-28 16:06:57
53,Nome,US,64.5011,-165.4064,9.0,78,90,23.02,light snow,2021-03-28 16:08:41
54,Madison,US,34.7334,-86.5667,61.0,77,90,15.14,overcast clouds,2021-03-28 16:05:00
55,San Fernando,PH,15.0286,120.6898,78.8,78,40,8.05,scattered clouds,2021-03-28 16:09:14
56,Jarva-Jaani,EE,59.0386,25.8864,41.14,68,81,6.38,broken clouds,2021-03-28 16:09:27
57,Grindavik,IS,63.8424,-22.4338,35.6,75,20,1.14,few clouds,2021-03-28 16:09:27
58,Vaini,TO,-21.2,-175.2,77.0,100,75,8.05,light rain,2021-03-28 16:09:28
59,Pangai,TO,-19.8,-174.35,81.57,79,45,19.6,scattered clouds,2021-03-28 16:09:28
60,Port-Gentil,GA,-0.7193,8.7815,82.4,78,40,11.5,light rain,2021-03-28 16:09:28
61,Nelspruit,ZA,-25.4745,30.9703,69.8,60,75,6.91,broken clouds,2021-03-28 16:09:28
62,Makakilo City,US,21.3469,-158.0858,73.4,68,1,5.75,clear sky,2021-03-28 16:09:29
63,Kutum,SD,14.2,24.6667,76.17,12,4,17.65,clear sky,2021-03-28 16:09:29
64,Moree,AU,-29.4667,149.85,60.8,82,0,5.7,clear sky,2021-03-28 16:09:29
65,Filadelfia,US,39.9523,-75.1638,60.01,94,90,10.36,overcast clouds,2021-03-28 16:05:23
66,Baturaja,ID,-4.1333,104.1667,75.06,97,40,2.48,scattered clouds,2021-03-28 16:09:29
67,Bengkulu,ID,-3.8004,102.2655,78.91,86,97,3.65,light rain,2021-03-28 16:09:03
68,Coahuayana,MX,18.7333,-103.6833,78.8,38,20,3.78,few clouds,2021-03-28 16:09:30
69,Yellowknife,CA,62.456,-114.3525,15.01,62,75,12.66,broken clouds,2021-03-28 16:07:22
70,San Andres,CO,12.5847,-81.7006,84.2,65,20,12.66,few clouds,2021-03-28 16:09:30
71,Ancud,CL,-41.8697,-73.8203,64.4,68,20,14.97,few clouds,2021-03-28 16:09:30
72,Lebu,CL,-37.6167,-73.65,63.3,65,5,15.82,clear sky,2021-03-28 16:09:31
73,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,69,1,9.22,clear sky,2021-03-28 16:09:31
74,Tadine,NC,-21.55,167.8833,75.97,88,7,9.46,clear sky,2021-03-28 16:09:31
75,Wajid,SO,3.8093,43.2471,92.79,22,100,7.56,overcast clouds,2021-03-28 16:09:31
76,Kodiak,US,57.79,-152.4072,35.6,32,1,8.05,clear sky,2021-03-28 16:09:31
77,Esperance,AU,-33.8667,121.9,68.0,83,0,8.05,clear sky,2021-03-28 16:08:48
78,Hobart,AU,-42.8794,147.3294,55.4,50,75,12.66,broken clouds,2021-03-28 16:09:32
79,Ponta Do Sol,PT,32.6667,-17.1,68.0,64,20,11.5,few clouds,2021-03-28 16:09:02
80,Nikolskoye,RU,59.7035,30.7861,45.0,70,0,8.95,light rain,2021-03-28 16:09:05
