City_ID,City,Country,Max Temp,Weather Des,Lat,Lng,Hotel Name
1,Sao Filipe,CV,69.91,clear sky,14.8961,-24.4956,Tortuga B&B
5,Qianan,CN,42.91,clear sky,44.9932,124.0581,Qian'an Hotel
6,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
7,Busselton,AU,60.01,clear sky,-33.65,115.3333,Observatory Guest House
10,Lasa,IT,68.0,clear sky,46.6166,10.7002,Pension Feldgärtenhof
12,Bluff,NZ,53.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,East London,ZA,66.2,few clouds,-33.0153,27.9116,Tu Casa
14,Hilo,US,66.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Kapaa,US,73.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
22,Azogues,EC,66.2,light rain,-2.7333,-78.8333,Hotel Ceasar Palace
24,Bethel,US,50.0,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
29,Rabo De Peixe,PT,60.8,few clouds,37.8,-25.5833,Quinta das Giestas
30,Port Alfred,ZA,66.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Goderich,CA,42.8,overcast clouds,43.7501,-81.7165,Harmony Inn
36,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
37,Lazurne,UA,51.8,clear sky,46.084,32.5295,New Manna Hostel
38,Pisco,PE,73.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
42,Mataura,NZ,53.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Jamestown,US,52.0,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
46,Punta Arenas,CL,51.8,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
47,Ushuaia,AR,46.4,scattered clouds,-54.8,-68.3,Albatros Hotel
51,Oranjemund,,65.32,clear sky,-28.55,16.4333,The Fisherman's Cove
54,Madison,US,61.0,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
56,Jarva-Jaani,EE,41.14,broken clouds,59.0386,25.8864,Järva-Jaani Hostel
61,Nelspruit,ZA,69.8,broken clouds,-25.4745,30.9703,Leaves Lodge and Spa
62,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
64,Moree,AU,60.8,clear sky,-29.4667,149.85,Molika Springs Motel
65,Filadelfia,US,60.01,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
71,Ancud,CL,64.4,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
72,Lebu,CL,63.3,clear sky,-37.6167,-73.65,Hostal Las Lilas
77,Esperance,AU,68.0,clear sky,-33.8667,121.9,Hospitality Esperance
78,Hobart,AU,55.4,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
79,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
80,Nikolskoye,RU,45.0,light rain,59.7035,30.7861,Tourist House - Sablino
82,Luderitz,,67.57,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
86,Roald,NO,44.6,broken clouds,62.5833,6.1333,Flem Cabins
87,Comodoro Rivadavia,AR,66.2,clear sky,-45.8667,-67.5,Austral Hotel
92,Faya,SA,71.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
96,Slave Lake,CA,44.6,few clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
97,Mauguio,FR,66.2,clear sky,43.6181,4.0074,Golf Spa Hotel Montpellier Massane
100,Waipawa,NZ,62.6,moderate rain,-41.4122,175.5153,Tora Coastal Walk
101,Nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
103,New Norfolk,AU,55.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
110,Hermanus,ZA,70.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
114,Svetlogorsk,BY,41.81,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
115,Rognan,NO,42.8,broken clouds,67.0953,15.3878,Rognan Hotell
118,Camacha,PT,66.2,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
120,Lagoa,PT,59.16,overcast clouds,39.05,-27.9833,Casa Das Faias
126,Bredasdorp,ZA,68.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
128,Flinders,AU,60.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
131,Portland,US,48.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
133,San Patricio,US,66.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
135,Praia,CV,73.4,few clouds,14.9215,-23.5087,LT Aparthotel
143,Sandpoint,US,46.0,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
145,Otane,NZ,66.99,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
152,Casas Grandes,MX,55.99,clear sky,30.3667,-107.95,Pueblo del Soul B&B
153,Despotovac,RS,52.0,overcast clouds,44.0925,21.4469,Коначиште Ресава
154,Carmarthen,GB,50.0,overcast clouds,51.8555,-4.3054,Ivy Bush Royal Hotel by Compass Hospitality
155,Ahipara,NZ,65.66,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
158,Saint George,US,55.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,El Sauzal,MX,63.0,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
164,Millington,US,59.0,scattered clouds,35.3415,-89.8973,Holiday Inn Express & Suites Millington-Memphis Area
165,Katobu,ID,74.62,overcast clouds,-4.9408,122.5276,La Ode Husein
